Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_4,Chrome 95.0.4638.69,,,2021-11-10 19:18:46,2021-11-10 19:22:33,3m - 46.653s,PASSED
,,,,,,,
Test Cases/TestCase_12_Verify_ApplicationNotes_and_its_features,Chrome 95.0.4638.69,,,2021-11-10 19:18:46,2021-11-10 19:22:33,3m - 46.339s,PASSED
"callTestCase(findTestCase(""TestCase_1_Login""), [:], STOP_ON_FAILURE)",Chrome 95.0.4638.69,Login to the Website,,2021-11-10 19:18:47,2021-11-10 19:19:21,33.977s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,Maximize the window,,2021-11-10 19:19:21,2021-11-10 19:19:21,0.215s,PASSED
"verifyElementVisible(findTestObject(""Resources_Dropdown_OR/Resources_option_location""))",Chrome 95.0.4638.69,Verify Resources option is present and visible,,2021-11-10 19:19:21,2021-11-10 19:19:22,0.658s,PASSED
"verifyElementText(findTestObject(""Resources_Dropdown_OR/Resources_option_location""), ""Resources"")",Chrome 95.0.4638.69,,,2021-11-10 19:19:22,2021-11-10 19:19:23,0.586s,PASSED
"mouseOver(findTestObject(""Resources_Dropdown_OR/Resources_option_location""))",Chrome 95.0.4638.69,Mouse hover on Resources,,2021-11-10 19:19:23,2021-11-10 19:19:23,0.836s,PASSED
"verifyElementVisible(findTestObject(""Resources_Dropdown_OR/Application_Notes_location""))",Chrome 95.0.4638.69,Verify Application Notes option is present and visible in the list,,2021-11-10 19:19:23,2021-11-10 19:19:24,0.557s,PASSED
"verifyElementText(findTestObject(""Resources_Dropdown_OR/Application_Notes_location""), ""Application Notes"")",Chrome 95.0.4638.69,,,2021-11-10 19:19:24,2021-11-10 19:19:25,0.538s,PASSED
"click(findTestObject(""Resources_Dropdown_OR/Application_Notes_location""))",Chrome 95.0.4638.69,Click on Application Notes,,2021-11-10 19:19:25,2021-11-10 19:19:29,4.212s,PASSED
"newPackage.newKeyword.verifyQuickLinkOption(""Application Notes"", ""Application Notes"")",Chrome 95.0.4638.69,Verify Document type of search results,,2021-11-10 19:19:29,2021-11-10 19:19:33,4.546s,PASSED
"click(findTestObject(""Search_Result_Page_OR/ShowAllAttribute_button""))",Chrome 95.0.4638.69,To close attribute table,,2021-11-10 19:19:33,2021-11-10 19:19:34,0.658s,PASSED
